Key,Page,English,Greek,Portuguese,French,Spanish,German,Khmer,Notes
home.title,homepage,"Review My Emails | Expert Email List Cleaning","Review My Emails | Επαγγελματικός Καθαρισμός Λίστας Email","Review My Emails | Limpeza Profissional de Lista de Email","Review My Emails | Nettoyage Expert de Liste Email","Review My Emails | Limpieza Profesional de Listas de Email","Review My Emails | Professionelle E-Mail-Listen-Bereinigung","Review My Emails | សេវាសម្អាតបញ្ជីអ៊ីមែលដោយអ្នកជំនាញ","DNT ""Review My Emails"""
home.meta_desc,homepage,"Expert email list cleaning services. Not automated validation — hands-on analysis that spots spam traps, risky contacts, and reputation killers.","Επαγγελματικές υπηρεσίες καθαρισμού λίστας email. Όχι αυτοματοποιημένο Validation - πρακτική ανάλυση που εντοπίζει spam traps, επικίνδυνες επαφές και παράγοντες που καταστρέφουν τη φήμη σας.","Serviços profissionais de limpeza de lista de email. Não é Validation automatizado - análise manual que identifica spam traps, contatos arriscados e problemas que prejudicam sua reputação.","Services experts de nettoyage de liste email. Pas de Validation automatisée - une analyse manuelle qui détecte les spam traps, contacts à risque et facteurs nuisibles à votre réputation.","Servicios profesionales de limpieza de listas de email. No es Validation automatizado - análisis manual que detecta spam traps, contactos riesgosos y factores que dañan tu reputación.","Professionelle E-Mail-Listen-Bereinigung. Keine automatisierte Validation - praktische Analyse, die Spam-Traps, riskante Kontakte und Reputationskiller aufspürt.","សេវាសម្អាតបញ្ជីអ៊ីមែលដោយអ្នកជំនាញ។ មិនមែន Validation ស្វ័យប្រវត្តិទេ - ការវិភាគដោយដៃដែលរកឃើញ spam traps ទំនាក់ទំនងប្រថុយ និងបញ្ហាដែលប៉ះពាល់កេរ្តិ៍ឈ្មោះរបស់អ្នក។","Keep ""spam traps"""
home.hero_badge,homepage,"Beyond Validation","Πέρα από το Validation","Além do Validation","Au-delà du Validation","Más allá del Validation","Über Validation hinaus","លើសពី Validation","Marketing tagline"
home.hero_headline,homepage,"Validation tools miss things. We don't.","Τα εργαλεία Validation χάνουν πράγματα. Εμείς όχι.","Ferramentas de Validation deixam passar coisas. Nós não.","Les outils de Validation ratent des choses. Pas nous.","Las herramientas de Validation pasan cosas por alto. Nosotros no.","Validation-Tools übersehen Dinge. Wir nicht.","ឧបករណ៍ Validation ខកខានរឿងជាច្រើន។ យើងមិនខកខានទេ។","Key headline"
home.hero_subhead,homepage,"What you'll get: A cleaned list labeled Keep, Monitor, or Suppress—plus the reasoning behind each one.","Τι θα λάβετε: Μια καθαρισμένη λίστα με ετικέτες Keep, Monitor ή Suppress—συν την αιτιολόγηση πίσω από κάθε μία.","O que você vai receber: Uma lista limpa rotulada Keep, Monitor ou Suppress—mais o raciocínio por trás de cada um.","Ce que vous obtiendrez : Une liste nettoyée étiquetée Keep, Monitor ou Suppress—plus le raisonnement derrière chacun.","Lo que obtendrás: Una lista limpia etiquetada Keep, Monitor o Suppress—más el razonamiento detrás de cada uno.","Was Sie erhalten: Eine bereinigte Liste mit Keep, Monitor oder Suppress—plus die Begründung für jede Entscheidung.","អ្វីដែលអ្នកនឹងទទួលបាន៖ បញ្ជីស្អាតដែលមានស្លាក Keep, Monitor ឬ Suppress—បូកនឹងហេតុផលនៅពីក្រោយនីមួយៗ។","DNT Keep/Monitor/Suppress"
home.cta_primary,homepage,"Get My List Cleaned","Καθαρίστε τη Λίστα Μου","Limpar Minha Lista","Nettoyer Ma Liste","Limpiar Mi Lista","Meine Liste Bereinigen","សម្អាតបញ្ជីរបស់ខ្ញុំ",""
home.cta_secondary,homepage,"Take the Free Quiz","Κάντε το Δωρεάν Quiz","Fazer o Quiz Gratuito","Faire le Quiz Gratuit","Hacer el Quiz Gratis","Kostenloses Quiz Machen","ធ្វើ Quiz ឥតគិតថ្លៃ",""
home.trust_quote,homepage,"""I didn't realize how much of my list was dead weight until I saw the report.""","""Δεν είχα συνειδητοποιήσει πόσο μέρος της λίστας μου ήταν νεκρό βάρος μέχρι που είδα την αναφορά.""","""Eu não percebia quanto da minha lista era peso morto até ver o relatório.""","""Je n'avais pas réalisé combien de ma liste était du poids mort jusqu'à ce que je voie le rapport.""","""No me di cuenta de cuánto de mi lista era peso muerto hasta que vi el informe.""","""Ich habe nicht gemerkt, wie viel meiner Liste totes Gewicht war, bis ich den Bericht sah.""","""ខ្ញុំមិនដឹងថាបញ្ជីរបស់ខ្ញុំមានទម្ងន់ស្លាប់ប៉ុន្មានទេរហូតដល់ខ្ញុំបានឃើញរបាយការណ៍។""",""
home.trust_author,homepage,"— Marketing Director, SaaS Company","— Διευθυντής Marketing, SaaS Company","— Diretor de Marketing, Empresa SaaS","— Directeur Marketing, Entreprise SaaS","— Director de Marketing, Empresa SaaS","— Marketing Director, SaaS-Unternehmen","— នាយកទីផ្សារ ក្រុមហ៊ុន SaaS",""
home.problem_title,homepage,"Why validation tools aren't enough","Γιατί τα εργαλεία Validation δεν αρκούν","Por que ferramentas de Validation não são suficientes","Pourquoi les outils de Validation ne suffisent pas","Por qué las herramientas de Validation no son suficientes","Warum Validation-Tools nicht ausreichen","ហេតុអ្វីបានជាឧបករណ៍ Validation មិនគ្រប់គ្រាន់",""
home.problem_1,homepage,"Validation says an email exists. It doesn't say if it's a trap.","Το Validation λέει ότι ένα email υπάρχει. Δεν λέει αν είναι παγίδα.","Validation diz que um email existe. Não diz se é uma armadilha.","Validation dit qu'un email existe. Il ne dit pas si c'est un piège.","Validation dice que un email existe. No dice si es una trampa.","Validation sagt, eine E-Mail existiert. Es sagt nicht, ob es eine Falle ist.","Validation និយាយថាអ៊ីមែលមាន។ វាមិនប្រាប់ថាវាជាអន្ទាក់ទេ។",""
home.problem_2,homepage,"One tool says clean. Another says risky. You're still guessing.","Ένα εργαλείο λέει καθαρό. Ένα άλλο λέει επικίνδυνο. Ακόμα μαντεύετε.","Uma ferramenta diz limpo. Outra diz arriscado. Você ainda está adivinhando.","Un outil dit propre. Un autre dit risqué. Vous devinez encore.","Una herramienta dice limpio. Otra dice riesgoso. Sigues adivinando.","Ein Tool sagt sauber. Ein anderes sagt riskant. Sie raten immer noch.","ឧបករណ៍មួយនិយាយថាស្អាត។ មួយទៀតនិយាយថាប្រថុយ។ អ្នកនៅតែស្មាន។",""
home.problem_3,homepage,"Bounces drop. Deliverability tanks. The tool said it was fine.","Τα bounces πέφτουν. Το Deliverability καταρρέει. Το εργαλείο είπε ότι ήταν εντάξει.","Bounces caem. Deliverability despenca. A ferramenta disse que estava tudo bem.","Les bounces chutent. La Deliverability s'effondre. L'outil disait que c'était bon.","Los bounces caen. Deliverability se hunde. La herramienta dijo que estaba bien.","Bounces sinken. Deliverability bricht ein. Das Tool sagte, es war in Ordnung.","Bounces ធ្លាក់។ Deliverability ធ្លាក់ចុះ។ ឧបករណ៍និយាយថាវាល្អ។",""
home.how_title,homepage,"How it works","Πώς λειτουργεί","Como funciona","Comment ça marche","Cómo funciona","So funktioniert es","របៀបដំណើរការ",""
home.step1_title,homepage,"Send your list","Στείλτε τη λίστα σας","Envie sua lista","Envoyez votre liste","Envía tu lista","Senden Sie Ihre Liste","ផ្ញើបញ្ជីរបស់អ្នក",""
home.step1_desc,homepage,"CSV or Excel. Up to 500K addresses. Secure transfer included.","CSV ή Excel. Έως 500K διευθύνσεις. Ασφαλής μεταφορά περιλαμβάνεται.","CSV ou Excel. Até 500K endereços. Transferência segura incluída.","CSV ou Excel. Jusqu'à 500K adresses. Transfert sécurisé inclus.","CSV o Excel. Hasta 500K direcciones. Transferencia segura incluida.","CSV oder Excel. Bis zu 500K Adressen. Sichere Übertragung inklusive.","CSV ឬ Excel។ រហូតដល់ 500K អាសយដ្ឋាន។ ការផ្ទេរសុវត្ថិភាពរួមបញ្ចូល។",""
home.step2_title,homepage,"We review it manually","Το ελέγχουμε χειροκίνητα","Revisamos manualmente","Nous l'examinons manuellement","Lo revisamos manualmente","Wir prüfen es manuell","យើងពិនិត្យដោយដៃ",""
home.step2_desc,homepage,"Pattern analysis. Trap detection. Reputation risk scoring. 24-48 hours.","Ανάλυση μοτίβων. Ανίχνευση παγίδων. Βαθμολόγηση κινδύνου φήμης. 24-48 ώρες.","Análise de padrões. Detecção de armadilhas. Pontuação de risco de reputação. 24-48 horas.","Analyse de motifs. Détection de pièges. Scoring de risque de réputation. 24-48 heures.","Análisis de patrones. Detección de trampas. Puntuación de riesgo de reputación. 24-48 horas.","Musteranalyse. Fallen-Erkennung. Reputationsrisiko-Bewertung. 24-48 Stunden.","ការវិភាគគំរូ។ ការរកឃើញអន្ទាក់។ ការវាយតម្លៃហានិភ័យកេរ្តិ៍ឈ្មោះ។ 24-48 ម៉ោង។",""
home.step3_title,homepage,"Get your clean list","Λάβετε την καθαρή λίστα σας","Receba sua lista limpa","Recevez votre liste propre","Recibe tu lista limpia","Erhalten Sie Ihre saubere Liste","ទទួលបញ្ជីស្អាតរបស់អ្នក",""
home.step3_desc,homepage,"Every address labeled. Full explanation report. 30-minute walkthrough call.","Κάθε διεύθυνση με ετικέτα. Πλήρης αναφορά εξήγησης. 30λεπτη κλήση επεξήγησης.","Cada endereço rotulado. Relatório de explicação completo. Chamada de 30 minutos de orientação.","Chaque adresse étiquetée. Rapport d'explication complet. Appel de présentation de 30 minutes.","Cada dirección etiquetada. Informe de explicación completo. Llamada de orientación de 30 minutos.","Jede Adresse gekennzeichnet. Vollständiger Erklärungsbericht. 30-minütiger Durchsprech-Anruf.","រាល់អាសយដ្ឋានមានស្លាក។ របាយការណ៍ពន្យល់ពេញលេញ។ ការហៅទូរសព្ទណែនាំ 30 នាទី។",""
home.deliverables_title,homepage,"What you get back","Τι παίρνετε πίσω","O que você recebe de volta","Ce que vous recevez","Lo que recibes","Was Sie zurückbekommen","អ្វីដែលអ្នកទទួលបានមកវិញ",""
home.deliverable1_title,homepage,"Clear Action Labels","Σαφείς Ετικέτες Δράσης","Rótulos de Ação Claros","Étiquettes d'Action Claires","Etiquetas de Acción Claras","Klare Aktions-Labels","ស្លាកសកម្មភាពច្បាស់លាស់",""
home.deliverable1_desc,homepage,"Every email marked Keep, Monitor, or Suppress. No ambiguity.","Κάθε email με σήμανση Keep, Monitor ή Suppress. Χωρίς ασάφεια.","Cada email marcado Keep, Monitor ou Suppress. Sem ambiguidade.","Chaque email marqué Keep, Monitor ou Suppress. Pas d'ambiguïté.","Cada email marcado Keep, Monitor o Suppress. Sin ambigüedad.","Jede E-Mail als Keep, Monitor oder Suppress markiert. Keine Unklarheit.","រាល់អ៊ីមែលមានសម្គាល់ Keep, Monitor ឬ Suppress។ គ្មានភាពមិនច្បាស់។","DNT Keep/Monitor/Suppress"
home.deliverable2_title,homepage,"Expert Interpretation","Ερμηνεία από Ειδικούς","Interpretação Especializada","Interprétation Expert","Interpretación Experta","Experten-Interpretation","ការបកស្រាយដោយអ្នកជំនាញ",""
home.deliverable2_desc,homepage,"Context on what it means for your reputation. Not just data—understanding.","Πλαίσιο για το τι σημαίνει για τη φήμη σας. Όχι απλά δεδομένα—κατανόηση.","Contexto sobre o que significa para sua reputação. Não apenas dados—compreensão.","Contexte sur ce que cela signifie pour votre réputation. Pas seulement des données—de la compréhension.","Contexto sobre lo que significa para tu reputación. No solo datos—comprensión.","Kontext, was es für Ihre Reputation bedeutet. Nicht nur Daten—Verständnis.","បរិបទអំពីអ្វីដែលវាមានន័យសម្រាប់កេរ្តិ៍ឈ្មោះរបស់អ្នក។ មិនមែនគ្រាន់តែទិន្នន័យទេ—ការយល់ដឹង។",""
home.deliverable3_title,homepage,"Walkthrough Call","Κλήση Επεξήγησης","Chamada de Orientação","Appel de Présentation","Llamada de Orientación","Durchsprech-Anruf","ការហៅទូរសព្ទណែនាំ",""
home.deliverable3_desc,homepage,"30-minute call to review findings and answer questions. Included in every order.","30λεπτη κλήση για ανασκόπηση ευρημάτων και απαντήσεις σε ερωτήσεις. Περιλαμβάνεται σε κάθε παραγγελία.","Chamada de 30 minutos para revisar descobertas e responder perguntas. Incluída em cada pedido.","Appel de 30 minutes pour examiner les résultats et répondre aux questions. Inclus dans chaque commande.","Llamada de 30 minutos para revisar hallazgos y responder preguntas. Incluida en cada pedido.","30-minütiger Anruf zur Besprechung der Ergebnisse und Beantwortung von Fragen. Bei jeder Bestellung inklusive.","ការហៅទូរសព្ទ 30 នាទីដើម្បីពិនិត្យលទ្ធផល និងឆ្លើយសំណួរ។ រួមបញ្ចូលក្នុងរាល់ការបញ្ជាទិញ។",""
home.who_title,homepage,"Who this is for","Για ποιον είναι αυτό","Para quem é isso","À qui c'est destiné","Para quién es esto","Für wen ist das","នេះសម្រាប់អ្នកណា",""
home.who_1,homepage,"You've tried validation tools. Still landing in spam.","Έχετε δοκιμάσει εργαλεία Validation. Ακόμα πέφτετε στο spam.","Você tentou ferramentas de Validation. Ainda caindo no spam.","Vous avez essayé les outils de Validation. Toujours en spam.","Has probado herramientas de Validation. Sigues cayendo en spam.","Sie haben Validation-Tools ausprobiert. Landen immer noch im Spam.","អ្នកបានសាកល្បងឧបករណ៍ Validation។ នៅតែធ្លាក់ក្នុង spam។",""
home.who_2,homepage,"You inherited a list with unknown quality.","Κληρονομήσατε μια λίστα με άγνωστη ποιότητα.","Você herdou uma lista com qualidade desconhecida.","Vous avez hérité d'une liste de qualité inconnue.","Heredaste una lista con calidad desconocida.","Sie haben eine Liste mit unbekannter Qualität geerbt.","អ្នកបានទទួលមរតកបញ្ជីដែលមានគុណភាពមិនស្គាល់។",""
home.who_3,homepage,"You're migrating ESPs and need to clean house.","Μεταβαίνετε σε νέο ESP και πρέπει να καθαρίσετε.","Você está migrando ESPs e precisa fazer uma limpeza.","Vous migrez d'ESP et devez faire le ménage.","Estás migrando ESPs y necesitas limpiar.","Sie migrieren ESPs und müssen aufräumen.","អ្នកកំពុងផ្លាស់ប្តូរ ESP ហើយត្រូវសម្អាត។",""
home.who_4,homepage,"You want expert eyes, not another automated report.","Θέλετε ματιά ειδικού, όχι άλλη αυτοματοποιημένη αναφορά.","Você quer olhos de especialista, não outro relatório automatizado.","Vous voulez des yeux d'expert, pas un autre rapport automatisé.","Quieres ojos expertos, no otro informe automatizado.","Sie wollen Expertenaugen, nicht einen weiteren automatisierten Bericht.","អ្នកចង់បានភ្នែកអ្នកជំនាញ មិនមែនរបាយការណ៍ស្វ័យប្រវត្តិមួយទៀតទេ។",""
home.crisis_badge,homepage,"CRISIS MODE","ΛΕΙΤΟΥΡΓΙΑ ΚΡΙΣΗΣ","MODO CRISE","MODE CRISE","MODO CRISIS","KRISENMODUS","របៀបវិបត្តិ",""
home.crisis_title,homepage,"Blocklisted? ESP warning? Reputation tanking?","Στη blocklist; Προειδοποίηση ESP; Η φήμη καταρρέει;","Na blocklist? Aviso do ESP? Reputação despencando?","Sur une blocklist? Avertissement ESP? Réputation en chute?","¿En blocklist? ¿Advertencia del ESP? ¿Reputación cayendo?","Auf der Blocklist? ESP-Warnung? Reputation im Keller?","នៅក្នុង blocklist? ការព្រមានពី ESP? កេរ្តិ៍ឈ្មោះធ្លាក់ចុះ?",""
home.crisis_desc,homepage,"The SOS Hotline gives you free, immediate guidance when deliverability breaks.","Το SOS Hotline σας δίνει δωρεάν, άμεση καθοδήγηση όταν το Deliverability χαλάει.","O SOS Hotline oferece orientação gratuita e imediata quando o Deliverability quebra.","La SOS Hotline vous donne des conseils gratuits et immédiats quand la Deliverability casse.","El SOS Hotline te da orientación gratuita e inmediata cuando Deliverability falla.","Die SOS Hotline gibt Ihnen kostenlose, sofortige Anleitung, wenn Deliverability versagt.","SOS Hotline ផ្តល់ការណែនាំឥតគិតថ្លៃភ្លាមៗនៅពេល Deliverability បរាជ័យ។","DNT SOS Hotline"
home.crisis_cta,homepage,"Get Emergency Help","Λάβετε Επείγουσα Βοήθεια","Obter Ajuda de Emergência","Obtenir de l'Aide d'Urgence","Obtener Ayuda de Emergencia","Notfallhilfe Erhalten","ទទួលជំនួយបន្ទាន់",""
home.final_title,homepage,"Ready to see what's really in your list?","Έτοιμοι να δείτε τι πραγματικά υπάρχει στη λίστα σας;","Pronto para ver o que realmente está na sua lista?","Prêt à voir ce qu'il y a vraiment dans votre liste?","¿Listo para ver qué hay realmente en tu lista?","Bereit zu sehen, was wirklich in Ihrer Liste ist?","ត្រៀមខ្លួនដើម្បីមើលអ្វីដែលពិតជានៅក្នុងបញ្ជីរបស់អ្នក?",""
home.final_cta,homepage,"Start Now","Ξεκινήστε Τώρα","Começar Agora","Commencer Maintenant","Empezar Ahora","Jetzt Starten","ចាប់ផ្តើមឥឡូវ",""
nav.home,common,"Home","Αρχική","Início","Accueil","Inicio","Startseite","ទំព័រដើម",""
nav.how_it_works,common,"How It Works","Πώς Λειτουργεί","Como Funciona","Comment Ça Marche","Cómo Funciona","So Funktioniert Es","របៀបដែលវាដំណើរការ",""
nav.pricing,common,"Pricing","Τιμές","Preços","Tarifs","Precios","Preise","តម្លៃ",""
nav.sos_hotline,common,"SOS Hotline","SOS Hotline","SOS Hotline","SOS Hotline","SOS Hotline","SOS Hotline","SOS Hotline","DNT SOS Hotline"
nav.about,common,"About","Σχετικά","Sobre","À Propos","Acerca de","Über Uns","អំពី",""
nav.partner,common,"Partner","Συνεργάτες","Parceiros","Partenaires","Socios","Partner","ដៃគូ",""
nav.quiz,common,"Free Quiz","Δωρεάν Quiz","Quiz Gratuito","Quiz Gratuit","Quiz Gratis","Kostenloses Quiz","Quiz ឥតគិតថ្លៃ",""
nav.audit,common,"Self-Audit","Αυτοαξιολόγηση","Autoauditoria","Auto-Audit","Autoauditoría","Selbst-Audit","ការត្រួតពិនិត្យខ្លួនឯង",""
nav.cta,common,"Get My List Cleaned","Καθαρίστε τη Λίστα Μου","Limpar Minha Lista","Nettoyer Ma Liste","Limpiar Mi Lista","Meine Liste Bereinigen","សម្អាតបញ្ជីរបស់ខ្ញុំ",""
footer.built_by,common,"Built by","Κατασκευάστηκε από","Construído por","Construit par","Construido por","Erstellt von","បង្កើតដោយ",""
footer.copyright,common,"© 2026 Review My Emails. All rights reserved.","© 2026 Review My Emails. Με επιφύλαξη παντός δικαιώματος.","© 2026 Review My Emails. Todos os direitos reservados.","© 2026 Review My Emails. Tous droits réservés.","© 2026 Review My Emails. Todos los derechos reservados.","© 2026 Review My Emails. Alle Rechte vorbehalten.","© 2026 Review My Emails។ រក្សាសិទ្ធិគ្រប់យ៉ាង។","DNT brand"
footer.contact,common,"Contact","Επικοινωνία","Contato","Contact","Contacto","Kontakt","ទំនាក់ទំនង",""
footer.privacy,common,"Privacy","Απόρρητο","Privacidade","Confidentialité","Privacidad","Datenschutz","ភាពឯកជន",""
footer.terms,common,"Terms","Όροι","Termos","Conditions","Términos","AGB","លក្ខខណ្ឌ",""
lang.select,common,"Language","Γλώσσα","Idioma","Langue","Idioma","Sprache","ភាសា",""
ui.loading,common,"Loading...","Φόρτωση...","Carregando...","Chargement...","Cargando...","Laden...","កំពុងផ្ទុក...",""
ui.submit,common,"Submit","Υποβολή","Enviar","Soumettre","Enviar","Absenden","បញ្ជូន",""
ui.cancel,common,"Cancel","Ακύρωση","Cancelar","Annuler","Cancelar","Abbrechen","បោះបង់",""
ui.close,common,"Close","Κλείσιμο","Fechar","Fermer","Cerrar","Schließen","បិទ",""
ui.learn_more,common,"Learn More","Μάθετε Περισσότερα","Saiba Mais","En Savoir Plus","Saber Más","Mehr Erfahren","ស្វែងយល់បន្ថែម",""
ui.view_details,common,"View Details","Δείτε Λεπτομέρειες","Ver Detalhes","Voir les Détails","Ver Detalles","Details Anzeigen","មើលព័ត៌មានលម្អិត",""
ui.success,common,"Success!","Επιτυχία!","Sucesso!","Succès!","¡Éxito!","Erfolg!","ជោគជ័យ!",""
ui.error,common,"Something went wrong. Please try again.","Κάτι πήγε στραβά. Παρακαλώ δοκιμάστε ξανά.","Algo deu errado. Por favor, tente novamente.","Quelque chose s'est mal passé. Veuillez réessayer.","Algo salió mal. Por favor intenta de nuevo.","Etwas ist schief gelaufen. Bitte versuchen Sie es erneut.","មានអ្វីមួយខុសប្រក្រតី។ សូមព្យាយាមម្តងទៀត។",""
ui.required,common,"Required","Απαιτείται","Obrigatório","Requis","Requerido","Erforderlich","ចាំបាច់",""
