Key,English,Greek (GR),Portuguese (BR),French (FR),Spanish (ES),German (DE),Khmer (KM),Notes
home.title,"Review My Emails | Expert Email List Cleaning",,,,,,,"DO NOT TRANSLATE: Review My Emails"
home.meta_desc,"Expert email list cleaning services. Not automated validation — hands-on analysis that spots spam traps, risky contacts, and reputation killers.",,,,,,,"Keep technical terms like spam traps"
home.hero_badge,"Beyond Validation",,,,,,,"Marketing tagline - translate intent"
home.hero_headline,"Validation tools miss things. We don't.",,,,,,,"Bold, confident statement"
home.hero_subhead,"What you'll get: A cleaned list labeled Keep, Monitor, or Suppress—plus the reasoning behind each one.",,,,,,,"DO NOT TRANSLATE: Keep, Monitor, Suppress"
home.cta_primary,"Get My List Cleaned",,,,,,,"Primary CTA button"
home.cta_secondary,"Take the Free Quiz",,,,,,,"Secondary CTA link"
home.trust_quote,"I didn't realize how much of my list was dead weight until I saw the report.",,,,,,,"Customer testimonial"
home.trust_author,"— Marketing Director, SaaS Company",,,,,,,"Attribution"
home.problem_title,"Why validation tools aren't enough",,,,,,,"Section heading"
home.problem_1,"Validation says an email exists. It doesn't say if it's a trap.",,,,,,,"Problem statement"
home.problem_2,"One tool says clean. Another says risky. You're still guessing.",,,,,,,"Problem statement"
home.problem_3,"Bounces drop. Deliverability tanks. The tool said it was fine.",,,,,,,"DO NOT TRANSLATE: Deliverability"
home.how_title,"How it works",,,,,,,"Section heading"
home.step1_title,"Send your list",,,,,,,"Step title"
home.step1_desc,"CSV or Excel. Up to 500K addresses. Secure transfer included.",,,,,,,"Step description"
home.step2_title,"We review it manually",,,,,,,"Step title"
home.step2_desc,"Pattern analysis. Trap detection. Reputation risk scoring. 24-48 hours.",,,,,,,"Step description"
home.step3_title,"Get your clean list",,,,,,,"Step title"
home.step3_desc,"Every address labeled. Full explanation report. 30-minute walkthrough call.",,,,,,,"Step description"
home.deliverables_title,"What you get back",,,,,,,"Section heading"
home.deliverable1_title,"Clear Action Labels",,,,,,,"Deliverable title"
home.deliverable1_desc,"Every email marked Keep, Monitor, or Suppress. No ambiguity.",,,,,,,"DO NOT TRANSLATE: Keep, Monitor, Suppress"
home.deliverable2_title,"Expert Interpretation",,,,,,,"Deliverable title"
home.deliverable2_desc,"Context on what it means for your reputation. Not just data—understanding.",,,,,,,"Deliverable description"
home.deliverable3_title,"Walkthrough Call",,,,,,,"Deliverable title"
home.deliverable3_desc,"30-minute call to review findings and answer questions. Included in every order.",,,,,,,"Deliverable description"
home.who_title,"Who this is for",,,,,,,"Section heading"
home.who_1,"You've tried validation tools. Still landing in spam.",,,,,,,"Target audience point"
home.who_2,"You inherited a list with unknown quality.",,,,,,,"Target audience point"
home.who_3,"You're migrating ESPs and need to clean house.",,,,,,,"Keep ESPs (Email Service Providers)"
home.who_4,"You want expert eyes, not another automated report.",,,,,,,"Target audience point"
home.crisis_badge,"CRISIS MODE",,,,,,,"Urgent indicator"
home.crisis_title,"Blocklisted? ESP warning? Reputation tanking?",,,,,,,"Crisis question"
home.crisis_desc,"The SOS Hotline gives you free, immediate guidance when deliverability breaks.",,,,,,,"DO NOT TRANSLATE: SOS Hotline, Deliverability"
home.crisis_cta,"Get Emergency Help",,,,,,,"CTA button"
home.final_title,"Ready to see what's really in your list?",,,,,,,"Final section heading"
home.final_cta,"Start Now",,,,,,,"CTA button"
quiz.title,"Diagnostic Quiz | Review My Emails",,,,,,,"DO NOT TRANSLATE: Diagnostic Quiz, Review My Emails"
quiz.badge,"Free Assessment",,,,,,,"Badge text"
quiz.headline,"Does Your List Need Professional Cleaning?",,,,,,,"Main headline"
quiz.subhead,"Most senders don't know what's hiding in their list. This quick diagnostic helps you figure it out.",,,,,,,"Subheadline"
quiz.start_btn,"Start Free Quiz",,,,,,,"Start button"
quiz.result_low_title,"Your list looks healthy",,,,,,,"Low risk result title"
quiz.result_medium_title,"Your list has some risk factors",,,,,,,"Medium risk result title"
quiz.result_high_title,"Your list needs attention",,,,,,,"High risk result title"
quiz.result_critical_title,"Immediate action needed",,,,,,,"Critical risk result title"
quiz.capture_title,"Get your detailed recommendations",,,,,,,"Email capture heading"
quiz.submit_btn,"Get My Results",,,,,,,"Submit button"
quiz.skip_link,"Skip and see results",,,,,,,"Skip link"
pricing.title,"Pricing | Review My Emails",,,,,,,"DO NOT TRANSLATE: Review My Emails"
pricing.badge,"Transparent Pricing",,,,,,,"Badge text"
pricing.headline,"Simple pricing. No hidden fees.",,,,,,,"Main headline"
pricing.tier1_name,"Starter",,,,,,,"Tier name"
pricing.tier2_name,"Growth",,,,,,,"Tier name"
pricing.tier3_name,"Scale",,,,,,,"Tier name"
pricing.tier4_name,"Enterprise",,,,,,,"Tier name"
pricing.cta,"Get Started",,,,,,,"CTA button"
pricing.faq_title,"Questions? We've got answers.",,,,,,,"FAQ section title"
dfy.title,"How It Works | Review My Emails",,,,,,,"DO NOT TRANSLATE: Review My Emails"
dfy.badge,"The Process",,,,,,,"Badge text"
dfy.headline,"From messy list to clean slate. Here's how.",,,,,,,"Main headline"
dfy.step1_title,"Upload Your List",,,,,,,"Step 1 title"
dfy.step2_title,"We Do the Heavy Lifting",,,,,,,"Step 2 title"
dfy.step3_title,"Review Together",,,,,,,"Step 3 title"
dfy.labels_title,"Clear labels. Clear action.",,,,,,,"Section title"
dfy.cta_title,"Ready to clean your list?",,,,,,,"CTA section title"
dfy.cta_button,"Get Started",,,,,,,"CTA button"
sos.title,"SOS Hotline | Review My Emails",,,,,,,"DO NOT TRANSLATE: SOS Hotline, Review My Emails"
sos.badge,"Free Emergency Guidance",,,,,,,"Badge text"
sos.headline,"Email emergency? Start here.",,,,,,,"Main headline"
sos.cta,"Submit Your Issue",,,,,,,"Primary CTA"
sos.how_title,"How the SOS Hotline works",,,,,,,"DO NOT TRANSLATE: SOS Hotline"
sos.step1_title,"Tell Us What Broke",,,,,,,"Step 1 title"
sos.step2_title,"We Review It",,,,,,,"Step 2 title"
sos.step3_title,"Get Guidance",,,,,,,"Step 3 title"
sos.why_title,"Why is this free?",,,,,,,"Section title"
sos.bridge_title,"Need more than guidance?",,,,,,,"Bridge section title"
sos.bridge_cta,"Learn About List Cleaning",,,,,,,"Bridge CTA"
about.title,"About | Review My Emails",,,,,,,"DO NOT TRANSLATE: Review My Emails"
about.badge,"The Team",,,,,,,"Badge text"
about.headline,"We've been where you are.",,,,,,,"Main headline"
about.story_title,"The story",,,,,,,"Section title"
about.team_title,"The people",,,,,,,"Section title"
about.values_title,"What we believe",,,,,,,"Section title"
about.value1_title,"Clarity over complexity",,,,,,,"Value title"
about.value2_title,"Honesty over upsells",,,,,,,"Value title"
about.value3_title,"Humans over algorithms",,,,,,,"Value title"
about.cta_title,"Want to talk?",,,,,,,"CTA section title"
about.cta_button,"Get in Touch",,,,,,,"CTA button"
audit.title,"Inbox Placement Self-Audit | Review My Emails",,,,,,,"DO NOT TRANSLATE: Review My Emails"
audit.badge,"Free Self-Assessment",,,,,,,"Badge text"
audit.headline,"Inbox Placement Self-Audit",,,,,,,"Main headline"
audit.start_btn,"Start Audit",,,,,,,"Start button"
audit.back,"Back",,,,,,,"Back button"
audit.next,"Next Section",,,,,,,"Next button"
audit.see_results,"See Results",,,,,,,"Final button"
audit.yes,"Yes",,,,,,,"Yes option"
audit.no,"No",,,,,,,"No option"
audit.not_sure,"Not sure",,,,,,,"Unsure option"
audit.result_good,"Looking Good",,,,,,,"Good score message"
audit.result_warning,"Some Attention Needed",,,,,,,"Medium score message"
audit.result_danger,"Action Required",,,,,,,"Low score message"
partner.title,"Partner With Us | Review My Emails",,,,,,,"DO NOT TRANSLATE: Review My Emails"
partner.badge,"Partner Program",,,,,,,"Badge text"
partner.headline,"Help your clients clean up. Literally.",,,,,,,"Main headline"
partner.cta,"Become a Partner",,,,,,,"Primary CTA"
partner.who_title,"Who we partner with",,,,,,,"Section title"
partner.type1_title,"Email Service Providers",,,,,,,"Partner type"
partner.type2_title,"Marketing Agencies",,,,,,,"Partner type"
partner.type3_title,"Deliverability Consultants",,,,,,,"DO NOT TRANSLATE: Deliverability"
partner.type4_title,"Data Providers",,,,,,,"Partner type"
partner.benefits_title,"What you get",,,,,,,"Section title"
partner.cta_title,"Ready to partner?",,,,,,,"CTA section title"
partner.cta_button,"Start Conversation",,,,,,,"CTA button"
nav.home,"Home",,,,,,,"Navigation link"
nav.how_it_works,"How It Works",,,,,,,"Navigation link"
nav.pricing,"Pricing",,,,,,,"Navigation link"
nav.sos_hotline,"SOS Hotline",,,,,,,"DO NOT TRANSLATE"
nav.about,"About",,,,,,,"Navigation link"
nav.partner,"Partner",,,,,,,"Navigation link"
nav.quiz,"Free Quiz",,,,,,,"Navigation link"
nav.audit,"Self-Audit",,,,,,,"Navigation link"
nav.cta,"Get My List Cleaned",,,,,,,"Header CTA button"
footer.built_by,"Built by",,,,,,,"Footer text"
footer.copyright,"© 2026 Review My Emails. All rights reserved.",,,,,,,"DO NOT TRANSLATE: Review My Emails"
footer.contact,"Contact",,,,,,,"Footer link"
footer.privacy,"Privacy",,,,,,,"Footer link"
footer.terms,"Terms",,,,,,,"Footer link"
lang.select,"Language",,,,,,,"Language selector label"
ui.loading,"Loading...",,,,,,,"Loading state"
ui.submit,"Submit",,,,,,,"Submit button"
ui.cancel,"Cancel",,,,,,,"Cancel button"
ui.close,"Close",,,,,,,"Close button"
ui.learn_more,"Learn More",,,,,,,"Learn more link"
ui.success,"Success!",,,,,,,"Success message"
ui.error,"Something went wrong. Please try again.",,,,,,,"Error message"
ui.required,"Required",,,,,,,"Required field indicator"
