Key,Page,Section,English,Arabic,Notes
home.title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | تدقيق وتنظيف قوائم البريد الإلكتروني,DNT "Review My Emails"
home.meta_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do. Clear labels: Keep, Monitor, Suppress. With the reasoning behind each one.","أدوات التحقق ترى العناوين فقط. نحن نرى الأنماط والسياق والمخاطر. ثم نخبرك بالضبط بما يجب عليك فعله. تصنيفات واضحة: احتفاظ (Keep)، مراقبة (Monitor)، حجب (Suppress). مع توضيح السبب وراء كل منها.",DNT Keep/Monitor/Suppress
home.og_title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | تدقيق وتنظيف قوائم البريد الإلكتروني,Same as title, for social sharing
home.og_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","أدوات التحقق ترى العناوين فقط. نحن نرى الأنماط. نحدد المخاطر ونخبرك بالضبط بالخطوة التالية.",For social sharing
home.hero_badge,homepage,HERO,By Yanna-Torry Aspraki,بواسطة يانا-توري أسبراكي,DNT name
home.hero_headline_1,homepage,HERO,Stop guessing what is wrong with your list.,توقف عن التخمين بشأن مشاكل قائمتك.,First line of headline
home.hero_headline_2,homepage,HERO,We find the problems tools miss.,نكتشف المشاكل التي تفوتها الأدوات.,Second line, highlighted
home.hero_subhead,homepage,HERO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","أدوات التحقق ترى العناوين فقط. نحن نرى الأنماط والمخاطر، ونخبرك بالضبط بما يجب فعله.",
home.cta_primary,homepage,HERO,Get My List Cleaned,تنظيف قائمتي,Main CTA button
home.hero_bridge,homepage,HERO,Most email inboxing and deliverability problems trace back to list quality.,معظم مشاكل الوصول للبريد الوارد (Inboxing) والتسليم تعود إلى جودة القائمة.,
home.hero_quiz_prefix,homepage,HERO,Not sure yet?,لست متأكداً بعد؟,
home.hero_quiz_link,homepage,HERO,Take the 2-minute risk check,قم بإجراء فحص المخاطر في دقيقتين,
dfy.hero_title,done-for-you,HERO,Validators check addresses. I read risk.,المدققون يفحصون العناوين. أنا أقرأ المخاطر.,
dfy.hero_subtitle,done-for-you,HERO,"Your list isn't broken. The assumptions behind it are. I read lists the way experience taught me, not the way software defaults to.","قائمتك ليست معطلة. الافتراضات التي بنيت عليها هي المشكلة. أقرأ القوائم كما علمتني الخبرة، وليس كما تفترض البرمجيات.",
dfy.hero_cta,done-for-you,HERO,Get My List Cleaned,تنظيف قائمتي,
dfy.hero_cta_secondary,done-for-you,HERO,Contact Us First,اتصل بنا أولاً,
dfy.output_title,done-for-you,OUTPUT,What You Get Back,ما الذي ستحصل عليه,
dfy.output_subtitle,done-for-you,OUTPUT,"Your list sorted into three buckets, with the labels and reasoning behind each decision.","قائمتك مصنفة إلى ثلاث مجموعات، مع التسميات والأسباب وراء كل قرار.",
dfy.output_safe,done-for-you,OUTPUT,Safe to Mail,آمن للإرسال (Safe),
dfy.output_safe_desc,done-for-you,OUTPUT,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.","لم يتم العثور على أي علامات خطر. النطاق سليم، التحقق ناجح، ولا توجد إشارات خطر. هذه العناوين جاهزة للإرسال.",
dfy.output_yellow,done-for-you,OUTPUT,Yellow Flags,علامات صفراء (Yellow Flags),
dfy.output_yellow_desc,done-for-you,OUTPUT,Each address comes with specific labels explaining why it landed here. Context matters. How you segment and send to these decides the outcome.,كل عنوان يأتي مع تسميات محددة تشرح سبب وجوده هنا. السياق مهم. كيفية تقسيمك وإرسالك لهذه العناوين تحدد النتيجة.,
dfy.output_donotmail,done-for-you,OUTPUT,Do Not Mail,لا ترسل (Do Not Mail),
dfy.output_donotmail_desc,done-for-you,OUTPUT,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here.","كل عنوان يأتي مع تسميات محددة تشرح السبب. غير صالح (Invalid)، محتمل أن يكون فخاً (Trap)، مؤقت (Disposable)، أو إشارات خطر أخرى. لا ترسل لهذه العناوين.",
dfy.output_note,done-for-you,OUTPUT,You also get the validation and DNS data that informed each decision. Not just buckets. The full picture.,ستحصل أيضاً على بيانات التحقق وDNS التي بني عليها كل قرار. ليس مجرد تصنيفات، بل الصورة الكاملة.,
dfy.howread_title,done-for-you,HOW I READ,How I Read Your List,كيف أقرأ قائمتك,
dfy.howread_beyond,done-for-you,HOW I READ,I Look Beyond the Address,أنظر إلى ما وراء العنوان,
dfy.howread_beyond_desc,done-for-you,HOW I READ,"Domain behavior, history, and patterns across your entire list. Context, not just existence. An address that ""works"" can still be dangerous.","سلوك النطاق، التاريخ، والأنماط عبر قائمتك بالكامل. السياق، وليس مجرد الوجود. العنوان الذي ""يعمل"" قد لا يزال خطيراً.",
dfy.howread_miss,done-for-you,HOW I READ,I Check What Others Miss,أتحقق مما يفوته الآخرون,
dfy.howread_miss_desc,done-for-you,HOW I READ,"Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you. I've learned what to look for.","الفخاخ، حسابات الأدوار (Role Accounts)، النطاقات السامة، الأنماط المؤقتة. الأشياء التي لا ترتد ولكنها تضرك. لقد تعلمت ما يجب البحث عنه.",
dfy.howread_reasoning,done-for-you,HOW I READ,I Explain My Reasoning,أشرح أسبابي,
dfy.howread_reasoning_desc,done-for-you,HOW I READ,"Not just labels. You get the thinking behind each decision so you understand why, and can make smarter calls next time.","ليس مجرد تسميات. تحصل على التفكير وراء كل قرار لتفهم السبب، وتتمكن من اتخاذ قرارات أذكى في المرة القادمة.",
sos.badge,sos-hotline,HERO,Free Service,خدمة مجانية,
sos.title,sos-hotline,HERO,Email SOS Hotline,خط المساعدة الطارئ للبريد الإلكتروني (SOS Hotline),DNT SOS Hotline
sos.subtitle,sos-hotline,HERO,"Free expert guidance for anyone with an email question. No sales pitch. No catch. Just honest answers from a deliverability specialist who gets emails into inboxes for a living.","توجيه مجاني من الخبراء لأي شخص لديه سؤال حول البريد الإلكتروني. لا مبيعات. لا شروط مخفية. فقط إجابات صادقة من متخصص في تسليم البريد الإلكتروني يوصل الرسائل للوارد يومياً.",
sos.cta,sos-hotline,HERO,Contact the SOS Hotline,اتصل بـ SOS Hotline,DNT SOS Hotline
sos.note,sos-hotline,HERO,"Within 48 hours. Often sooner.","خلال 48 ساعة. وغالباً أسرع.",
sos.how_title,sos-hotline,HOW IT WORKS,How It Works,كيف يعمل الأمر,
sos.testimonials_title,sos-hotline,TESTIMONIALS,What People Say,ماذا يقول الناس,
sos.why_title,sos-hotline,WHY FREE,Why Is This Free?,لماذا هذه الخدمة مجانية؟,
sos.why_free_p1,sos-hotline,WHY FREE,"We offer real help without charging because it is the right thing to do.","نقدم مساعدة حقيقية مجاناً ببساطة لأن هذا هو الشيء الصحيح الذي ينبغي فعله.",
sos.final_cta_subtext,sos-hotline,FINAL CTA,"Email us. Within 48 hours. Often sooner.","راسلنا عبر البريد الإلكتروني. الرد خلال 48 ساعة. وغالباً قبل ذلك.",
sos.how_step1,sos-hotline,HOW IT WORKS,You send an email to the SOS Hotline,ترسل بريداً إلكترونياً إلى SOS Hotline,DNT SOS Hotline
sos.how_step2,sos-hotline,HOW IT WORKS,You receive an automatic reply confirming we got it,تتلقى رداً تلقائياً يؤكد استلامنا لرسالتك,
sos.how_step3,sos-hotline,HOW IT WORKS,YT personally reads and responds within 48 hours,تقرأ يانا-توري الرسائل شخصياً وترد خلال 48 ساعة,DNT YT
pricing.sos_desc,pricing,SOS,Free expert support for deliverability questions. No data touched. No list processed. Just honest answers.,دعم خبراء مجاني لأسئلة التسليم (Deliverability). لا نلمس بياناتك. لا نعالج قائمتك. فقط إجابات صادقة.,
pricing.sos_card_desc,pricing,SOS,"Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.","اسأل أي سؤال حول البريد الإلكتروني. احصل على إجابة حقيقية من خبير حقيقي. لا محاولات بيع، لا قيود.",
pricing.sos_status,pricing,SOS,"Use it before, during, or after cleaning to understand your situation.","استخدمه قبل أو أثناء أو بعد التدقيق لفهم موقفك.",
sos.modal_subtitle,sos-hotline,MODAL,Tell us what's going on and we'll get back to you within 24-48 hours.,أخبرنا بما يحدث وسنعود إليك خلال 24-48 ساعة.,
sos.topics_headline,sos-hotline,TOPICS,If it touches email, we can help.,إذا كان الأمر يتعلق بالبريد الإلكتروني، يمكننا المساعدة.,
sos.more_expert_cta,sos-hotline,BRIDGE,See the Process,شاهد العملية,
Key,Page,Section,English,Arabic,Notes
pricing.hero_title,pricing,HERO,Beyond Validation. We Tell You What Your List Means.,أبعد من مجرد التحقق. نحن نخبرك بما تعنيه قائمتك حقاً.,
pricing.hero_subtitle,pricing,HERO,"Not just pass/fail. Every address comes with reasoning so you know what to keep, what to monitor, and what to suppress.","ليس مجرد نجاح/فشل. كل عنوان يأتي مع سبب لتعرف ما يجب الاحتفاظ به، وما يجب مراقبته، وما يجب حجبه.",
pricing.output_title,pricing,OUTPUT,What You Get,ما ستحصل عليه,
pricing.output_cleared,pricing,OUTPUT,Cleared After Full Review,تمت الموافقة بعد المراجعة الكاملة,
pricing.output_patterns,pricing,OUTPUT,Patterns Worth Watching,أنماط تستحق المراقبة,
pricing.output_risk,pricing,OUTPUT,"Clear Risk, Clear Reasoning",مخاطر واضحة، أسباب واضحة,
pricing.whofor_title,pricing,WHO FOR,Who This Is For,لمن هذه الخدمة,
pricing.problem_title,pricing,PROBLEM,The Problem,المشكلة,
pricing.value_title,pricing,VALUE,What You Are Actually Paying For,ما الذي تدفع مقابله بالفعل,
pricing.options_title,pricing,OPTIONS,Service Options,خيارات الخدمة,
pricing.sos_title,pricing,OPTIONS,SOS Hotline,SOS Hotline,DNT SOS Hotline
pricing.dfy_title,pricing,OPTIONS,Done-For-You,خدمة متكاملة (Done-For-You),
pricing.selfserve_title,pricing,OPTIONS,Self-Serve,خدمة ذاتية (Self-Serve),
pricing.coming_soon,pricing,OPTIONS,Coming Soon,قريباً,
pricing.calculator_title,pricing,CALCULATOR,Pricing Calculator,حاسبة الأسعار,
pricing.calculate_price,pricing,CALCULATOR,Calculate Your Price,احسب سعرك,
pricing.get_started,pricing,CALCULATOR,Get Started,ابدأ الآن,
pricing.sos_section_title,pricing,SOS SECTION,SOS Email Hotline,خط المساعدة الطارئ للبريد الإلكتروني,DNT SOS
pricing.sos_free_help,pricing,SOS SECTION,Free Email Help,مساعدة مجانية في البريد الإلكتروني,
pricing.sos_learn_more,pricing,SOS SECTION,Learn More About SOS Hotline,تعرف أكثر على SOS Hotline,DNT SOS Hotline
pricing.cta_title,pricing,CTA,Ready to Clean Your List?,جاهز لتنظيف قائمتك؟,
pricing.cta_getstarted,pricing,CTA,Get My List Cleaned,تنظيف قائمتي,
pricing.cta_waitlist,pricing,CTA,Join the Waitlist,انضم لقائمة الانتظار,
pricing.cta_freehelp,pricing,CTA,Get Free Help,احصل على مساعدة مجانية,
pricing.faq_title,pricing,FAQ,Questions?,أسئلة؟,
pricing.output_subtitle,pricing,OUTPUT,A cleaned list with clear recommendations.,قائمة نظيفة مع توصيات واضحة.,
pricing.output_cleared_desc,pricing,OUTPUT,No risk patterns surfaced during review. Domain behavior and historical signals support continued sending.,لم تظهر أنماط مخاطر أثناء المراجعة. سلوك النطاق والإشارات التاريخية تدعم استمرار الإرسال.,
pricing.output_patterns_desc,pricing,OUTPUT,These require judgment. We surface historical patterns and relationship context. You decide how to segment based on your tolerance and goals.,هذه تتطلب حكماً تقديرياً. نكشف الأنماط التاريخية وسياق العلاقة. أنت تقرر كيفية التقسيم بناءً على أهدافك وقدرتك على تحمل المخاطر.,
pricing.output_risk_desc,pricing,OUTPUT,Clear risk signals: known problem domains, disposable patterns, historical trap indicators. Each address includes the specific flags that earned suppression. You will know exactly why.,إشارات خطر واضحة: نطاقات معروفة بالمشاكل، أنماط بريد مؤقت، مؤشرات فخاخ تاريخية. كل عنوان يتضمن العلامات المحددة التي أدت لحجبه. ستعرف السبب بالضبط.,
pricing.output_note,pricing,OUTPUT,Every decision comes with the reasoning behind it. This is not a pass/fail list. It is a decision-making tool built on historical domain behavior and pattern recognition.,كل قرار يأتي مع السبب وراءه. هذه ليست قائمة نجاح/فشل. إنها أداة لاتخاذ القرار مبنية على سلوك النطاق التاريخي والتعرف على الأنماط.,
pricing.whofor_subtitle,pricing,WHO FOR,Marketers who already send email and want to protect their sender reputation.,المسوقون الذين يرسلون رسائل بريد إلكتروني بالفعل ويريدون حماية سمعة المرسل الخاصة بهم.,
pricing.whofor_note,pricing,WHO FOR,"If you care about long-term reputation, not just short-term volume, this is for you.","إذا كنت تهتم بالسمعة طويلة المدى، وليس فقط الحجم قصير المدى، فهذا لك.",
pricing.whofor_item1,pricing,WHO FOR,Running campaigns but seeing declining engagement,تدير حملات ولكن ترى تراجعاً في التفاعل,
pricing.whofor_item2,pricing,WHO FOR,"Worried about bounces, complaints, or blocklists",قلق بشأن الارتدادات (Bounces)، الشكاوى، أو القوائم المحظورة (Blocklists),
pricing.whofor_item3,pricing,WHO FOR,Inheriting a list you did not build,ورثت قائمة لم تقم ببنائها بنفسك,
pricing.whofor_item4,pricing,WHO FOR,"Under pressure to ""just send"" but sensing risk","تحت ضغط ""فقط أرسل"" لكنك تشعر بوجود خطر",
pricing.whofor_item5,pricing,WHO FOR,Trying to explain deliverability to a boss who does not get it,تحاول شرح قابلية التسليم (Deliverability) لمدير لا يفهمها,
pricing.badge_deliverable,pricing,PROBLEM,Deliverable,قابل للتسليم,
pricing.badge_undeliverable,pricing,PROBLEM,Undeliverable,غير قابل للتسليم,
pricing.badge_risky,pricing,PROBLEM,Risky,خطر,
pricing.badge_unknown,pricing,PROBLEM,Unknown,غير معروف,
pricing.problem_intro,pricing,PROBLEM,Most list cleaning tools give you a status and leave you guessing. That tells you what to remove. It does not tell you what is actually wrong.,معظم أدوات تنظيف القوائم تعطيك حالة وتتركك لتخمن. تخبرك بما يجب حذفه، لكنها لا تخبرك بالخطأ الفعلي.,
pricing.problem_q1,pricing,PROBLEM,Why is engagement dropping?,لماذا ينخفض التفاعل؟,
pricing.problem_q2,pricing,PROBLEM,Why are complaints rising?,لماذا تتزايد الشكاوى؟,
pricing.problem_q3,pricing,PROBLEM,"Is it the list, the sending, or both?","هل السبب القائمة، أم الإرسال، أم كلاهما؟",
pricing.problem_q4,pricing,PROBLEM,Which addresses are actually hurting me?,أي العناوين تضرني فعلاً؟,
pricing.problem_q5,pricing,PROBLEM,What patterns should I watch for?,ما الأنماط التي يجب أن أراقبها؟,
pricing.problem_q6,pricing,PROBLEM,What should I do about the ""risky"" ones?,ماذا يجب أن أفعل بشأن العناوين ""الخطرة""؟,
pricing.problem_footer,pricing,PROBLEM,We give you the context to answer those questions.,نحن نعطيك السياق للإجابة على تلك الأسئلة.,
pricing.value_subtitle,pricing,VALUE,The difference between checking and interpreting.,الفرق بين الفحص والتفسير.,
pricing.comp_them1,pricing,VALUE,Validators check if an inbox exists.,المدققون يفحصون ما إذا كان صندوق البريد موجوداً.,
pricing.comp_us1,pricing,VALUE,We assess whether sending there is safe.,نحن نقيم ما إذا كان الإرسال إلى هناك آمناً.,
pricing.comp_them2,pricing,VALUE,Validators give you a status.,المدققون يعطونك حالة.,
pricing.comp_us2,pricing,VALUE,We give you the reasoning behind a decision.,نحن نعطيك السبب وراء القرار.,
pricing.comp_them3,pricing,VALUE,Validators flag what bounces.,المدققون يضعون علامة على ما يرتد.,
pricing.comp_us3,pricing,VALUE,We flag what damages your reputation without bouncing.,نحن نضع علامة على ما يضر سمعتك دون أن يرتد.,
pricing.comp_them4,pricing,VALUE,Validators process volume.,المدققون يعالجون الحجم.,
pricing.comp_us4,pricing,VALUE,We interpret patterns across your entire list.,نحن نفسر الأنماط عبر قائمتك بالكامل.,
pricing.comp_them5,pricing,VALUE,Validators leave you guessing.,المدققون يتركونك تخمن.,
pricing.comp_us5,pricing,VALUE,We tell you what to do and why.,نحن نخبرك بما يجب فعله ولماذا.,
pricing.badge_guidance,pricing,OPTIONS,Guidance,توجيه,
pricing.badge_execution,pricing,OPTIONS,Execution,تنفيذ,
pricing.badge_automation,pricing,OPTIONS,Automation,أتمتة,
pricing.sos_desc,pricing,OPTIONS,Free expert support for deliverability questions. No data touched. No list processed. Just honest answers.,دعم خبراء مجاني لأسئلة التسليم. لا نلمس بياناتك. لا نعالج قائمتك. فقط إجابات صادقة.,
pricing.sos_status,pricing,OPTIONS,Use it before, during, or after cleaning to understand your situation.,استخدمه قبل، أو أثناء، أو بعد التنظيف لفهم موقفك.,
pricing.learn_more,pricing,OPTIONS,Learn more →,اعرف المزيد ←,
pricing.dfy_desc,pricing,OPTIONS,"Send us your list. We process it, label every address, and return results with clear reasoning.","أرسل لنا قائمتك. نعالجها، نصنف كل عنوان، ونعيد النتائج مع أسباب واضحة.",
pricing.dfy_status,pricing,OPTIONS,You get the decisions made for you. Available now.,نحن نتخذ القرارات نيابة عنك. متاح الآن.,
pricing.get_started_arrow,pricing,OPTIONS,Get started →,ابدأ الآن ←,
pricing.selfserve_desc,pricing,OPTIONS,"Upload your list. Download results. Same methodology as done-for-you, but you run it yourself.","ارفع قائمتك. حمل النتائج. نفس منهجية الخدمة المتكاملة، لكنك تديرها بنفسك.",
pricing.selfserve_status,pricing,OPTIONS,Coming soon. Join the waitlist to get notified.,قريباً. انضم لقائمة الانتظار ليتم إعلامك.,
pricing.join_waitlist,pricing,OPTIONS,Join Waitlist,انضم لقائمة الانتظار,
pricing.newsletter_checkbox,pricing,OPTIONS,"Monthly deliverability insights (no spam, just signal)","رؤى شهرية حول التسليم (لا رسائل مزعجة، فقط معلومات مفيدة)",
pricing.free_credits,pricing,OPTIONS,+1,500 free credits,+1,500 رصيد مجاني,
pricing.waitlist_success,pricing,OPTIONS,You're on the list! We'll notify you when self-serve launches.,أنت في القائمة! سنخطرك عند إطلاق الخدمة الذاتية.,
pricing.options_note,pricing,OPTIONS,SOS tells you what to think about. Done-for-you does the thinking for you. Self-serve lets you do the thinking yourself.,SOS يخبرك بما يجب أن تفكر فيه. الخدمة المتكاملة تفكر نيابة عنك. الخدمة الذاتية تتيح لك التفكير بنفسك.,
pricing.calculator_subtitle,pricing,CALCULATOR,Pay only for what you need. Credits never expire.,ادفع فقط مقابل ما تحتاجه. الرصيد لا ينتهي أبداً.,
pricing.calculator_intro,pricing,CALCULATOR,Simple. More volume, lower rate.,بسيط. حجم أكبر، سعر أقل.,
pricing.how_many_emails,pricing,CALCULATOR,How many emails?,كم عدد رسائل البريد الإلكتروني؟,
pricing.emails_unit,pricing,CALCULATOR,emails,بريد إلكتروني,
pricing.price_per_email,pricing,CALCULATOR,Price per email,السعر لكل بريد,
pricing.total,pricing,CALCULATOR,Total,الإجمالي,
pricing.calculator_note,pricing,CALCULATOR,Need more than 1 million?,تحتاج أكثر من مليون؟,
pricing.contact_us,pricing,CALCULATOR,Contact us,اتصل بنا,
pricing.custom_pricing,pricing,CALCULATOR,for custom pricing.,للحصول على تسعير مخصص.,
pricing.volume_pricing,pricing,CALCULATOR,Volume Pricing,تسعير الحجم,
pricing.list_size,pricing,CALCULATOR,List Size,حجم القائمة,
pricing.per_email,pricing,CALCULATOR,Per Email,لكل بريد,
pricing.sos_section_intro,pricing,SOS SECTION,Free email support for any email-related question.,دعم بريد إلكتروني مجاني لأي سؤال متعلق بالبريد الإلكتروني.,
pricing.sos_card_desc,pricing,SOS SECTION,Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.,اسأل أي سؤال بريدي. احصل على إجابة حقيقية من خبير حقيقي. لا مبيعات، لا قيود.,
pricing.sos_duration,pricing,SOS SECTION,Response within 48 hours. Usually faster.,الرد خلال 48 ساعة. وغالباً أسرع.,
pricing.cta_subtitle,pricing,CTA,Choose what works for you.,اختر ما يناسبك.,
pricing.cta_getstarted_desc,pricing,CTA,Done-for-you service. Send your list, get results.,خدمة متكاملة. أرسل قائمتك، احصل على النتائج.,
pricing.cta_waitlist_desc,pricing,CTA,Be first to access self-serve when it launches.,كن أول من يصل للخدمة الذاتية عند إطلاقها.,
pricing.cta_freehelp_desc,pricing,CTA,Email our SOS hotline with your questions.,راسل خط SOS للطوارئ بأسئلتك.,
pricing.learn_more_btn,pricing,CTA,Learn More,اعرف المزيد,
pricing.send_message,pricing,FAQ,Send us a message,أرسل لنا رسالة,
pricing.response_time,pricing,FAQ,We respond within 48 hours. Usually faster.,نرد خلال 48 ساعة. وغالباً أسرع.,
quiz.title,quiz,INTRO,Is Your List Safe?,هل قائمتك آمنة؟,
quiz.result_noconsent_headline,quiz,RESULTS,We can absolutely help clean your list.,يمكننا بالتأكيد المساعدة في تنظيف قائمتك.,
quiz.result_crisis_headline,quiz,RESULTS,You need triage, not just cleaning.,أنت بحاجة إلى فرز طارئ، وليس مجرد تنظيف.,
quiz.result_toolfailure_headline,quiz,RESULTS,Your validation tool missed something.,أداة التحقق الخاصة بك فاتها شيء ما.,
quiz.result_directlink,quiz,RESULTS,Ready to go?,جاهز للانطلاق؟,
quiz.result_directlink_cta,quiz,RESULTS,Get My List Cleaned →,تنظيف قائمتي ←,
quiz.capture_title,quiz,CAPTURE,Save your diagnosis,احفظ تشخيصك,
quiz.capture_subtitle,quiz,CAPTURE,Get your results emailed and optionally join our waitlist for self-serve tools.,احصل على نتائجك عبر البريد وانضم اختيارياً لقائمة انتظار أدوات الخدمة الذاتية.,
quiz.capture_newsletter,quiz,CAPTURE,"Monthly deliverability insights (no spam, just signal)","رؤى شهرية حول التسليم (لا رسائل مزعجة، فقط معلومات مفيدة)",
quiz.capture_bonus,quiz,CAPTURE,1,500 credits when we launch,1,500 رصيد عند الإطلاق,
quiz.capture_submit,quiz,CAPTURE,Send My Results,أرسل نتائجي,
quiz.capture_skip,quiz,CAPTURE,Skip,تخطي,
quiz.capture_waitlist,quiz,CAPTURE,Notify me when self-serve launches,أعلمني عند إطلاق الخدمة الذاتية,
